Country,RegionDetail,Altitude,Year,ProcessingMethod,BeanColor,BagsProduced,Rating
China,yunnan,1680,2015,Washed / Wet,Green,3,84.5
Costa Rica,central valley,1300,2014,Washed / Wet,Green,250,81.17
Mexico,petatlan,1248,2012,Natural / Dry,Green,15,82.92
China,yunnan,1100,2015,Washed / Wet,Green,3,83.58
Haiti,"department d'artibonite , haiti",350,2012,Natural / Dry,Blue-Green,1,67.92
Mexico,la concordia,1550,2012,Washed / Wet,Green,250,79.5
Guatemala,antigua,1500,2016,Washed / Wet,Green,230,84.25
Ethiopia,guji-hambela,2075,2014,Washed / Wet,Green,300,90.58
Colombia,guayata,1500,2017,Washed / Wet,Green,129,82.92
Mexico,yajalon,1450,2012,Washed / Wet,Green,53,79.17
Colombia,cauca,1700,2013,Washed / Wet,Green,250,84.25
Mexico,chiapas,1700,2013,Washed / Wet,Green,275,74.67
Honduras,occidental,1400,2014,Washed / Wet,Green,275,82
Colombia,huila,1775,2012,Washed / Wet,Green,50,84.92
Mexico,sierra madre occidental,1600,2017,Washed / Wet,Blue-Green,50,83.25
Costa Rica,west valley,1300,2014,Washed / Wet,Blue-Green,250,85.33
Ethiopia,guji-hambela,2075,2014,Washed / Wet,Green,300,89.92
Guatemala,quetzaltenango,1300,2012,Washed / Wet,Blue-Green,250,83.75
Colombia,huila,1775,2012,Washed / Wet,Green,175,83.5
Mexico,chiapas,1425,2015,Washed / Wet,Green,250,81.83
Guatemala,oriente,1219,2015,Washed / Wet,Green,250,81
Honduras,marcala,1450,2016,Washed / Wet,Blue-Green,275,81.67
Mexico,coatepec,1100,2012,Washed / Wet,Green,10,76.42
Kenya,kirinyaga,1900,2014,Natural / Dry,Green,16,85.5
Guatemala,nuevo oriente,1417,2012,Washed / Wet,Green,275,59.83
Brazil,south of minas,934,2016,Natural / Dry,Green,320,83.92
Colombia,huila,1775,2013,Washed / Wet,Green,125,82.83
Costa Rica,tarrazu,1850,2016,Washed / Wet,Blue-Green,275,83.42
Mexico,altotonga,1000,2012,Washed / Wet,Green,200,82.17
Honduras,marcala,1350,2015,Washed / Wet,Green,275,82.17
Colombia,huila,1750,2013,Washed / Wet,Green,250,82.58
Colombia,huila,165,2014,Washed / Wet,Green,275,82.75
Honduras,"comayagua, honduras",1500,2017,Washed / Wet,Green,1,82.42
Guatemala,oriente,1400,2012,Washed / Wet,Green,250,80.25
Colombia,huila,1750,2013,Washed / Wet,Green,250,82.5
Thailand,chiangrai,1350,2015,Natural / Dry,Blue-Green,45,83.92
Colombia,cundinamarca,1450,2012,Washed / Wet,Green,250,83.42
Haiti,"dondon, haiti",825,2013,Washed / Wet,Blue-Green,300,81.5
Honduras,ocotepeque,1650,2017,Washed / Wet,Green,15,80.5
Colombia,huila,1900,2013,Washed / Wet,Green,250,82.92
Mexico,"motozintla, chiapas",950,2012,Washed / Wet,Green,10,81
China,yunnan,1700,2013,Washed / Wet,Green,1,80.42
Mexico,siltepec el triunfo,1550,2014,Washed / Wet,Green,280,81.42
Mexico,juquila,1250,2012,Washed / Wet,Green,40,82.25
Brazil,south of minas,934,2016,Natural / Dry,Green,320,82.17
Guatemala,oriente,1219,2014,Washed / Wet,Green,275,78.33
Mexico,veracruz,1000,2012,Washed / Wet,Green,15,80.17
Colombia,guayata,1600,2016,Washed / Wet,Green,43,81
Mexico,totutla,1400,2012,Washed / Wet,Green,15,83.5
Ethiopia,oromia,2000,2014,Natural / Dry,Green,320,89
"Tanzania, United Republic Of",shizingo village,1620,2014,Washed / Wet,Green,10,84.25
Colombia,huila,1775,2013,Washed / Wet,Green,250,82.42
Guatemala,oriente,1650,2015,Washed / Wet,Green,100,83.17
Kenya,nyeri,2000,2012,Washed / Wet,Blue-Green,235,84.67
Mexico,talpa de allende,1200,2012,Washed / Wet,Blue-Green,10,79.08
Colombia,huila,1625,2012,Washed / Wet,Green,250,83
Nicaragua,jinotega,1100,2015,Washed / Wet,Green,275,81.25
Brazil,monte carmelo,973,2016,Natural / Dry,Green,200,81.83
Mexico,la yerbabuena,1400,2012,Washed / Wet,Green,20,83.92
Brazil,south of minas,872,2016,Natural / Dry,Blue-Green,320,83
Mexico,xalapa,1170,2012,Natural / Dry,Green,10,83.5
China,yunnan,1100,2013,Washed / Wet,Green,1,84.5
Guatemala,huehuetenango,1706,2013,Washed / Wet,Green,250,82.92
Guatemala,oriente,1901,2017,Washed / Wet,Green,275,83.17
Mexico,colima,1150,2012,Washed / Wet,Green,70,82.58
United States,yauco region,853,2013,Washed / Wet,Blue-Green,17,83
Mexico,tapachula,1800,2012,Washed / Wet,Green,250,81.33
Guatemala,norte,3280,2015,Washed / Wet,Green,130,81.83
El Salvador,apaneca,1500,2013,Washed / Wet,Blue-Green,275,85.58
"Tanzania, United Republic Of",karatu northern,1600,2014,Washed / Wet,Green,39,83.42
Malawi,mzuzu,1180,2014,Washed / Wet,Blue-Green,10,82.25
Mexico,santo domingo cacalotepec,1480,2012,Washed / Wet,Green,300,84.08
Kenya,central kenya,1650,2012,Washed / Wet,Blue-Green,150,84
Uganda,kasese,1700,2012,Natural / Dry,Green,1,84.25
Guatemala,oriente,157,2017,Washed / Wet,Green,25,81.83
"Tanzania, United Republic Of",mbeya,1620,2014,Washed / Wet,Green,134,84.92
Costa Rica,naranjo,1500,2014,Washed / Wet,Green,250,81.08
Mexico,zihuatanejo de azueta,1300,2012,Washed / Wet,Green,74,82.42
Honduras,san marcos,1350,2014,Natural / Dry,Green,275,81
Colombia,antioquia,1300,2013,Washed / Wet,Green,250,82.75
Guatemala,oriente,1219,2014,Washed / Wet,Green,250,81.5
